12305 Gotthold Ephraim Lessing   GERMANY
12307 Gustave Flaubert   FRANCE
12309 Goran Bregović   BOSNIA AND HERZEGOVINA
12317 Georges Braque   France
12326 Galen   Turkey
12332 Gustav Kirchhoff   Russia
12333 G. K. Chesterton   UNITED KINGDOM
12406 Gioacchino Rossini   ITALY
12425 Gustav Klimt   AUSTRIA
27875 Stephen Jay Gould   UNITED STATES
12454 Gough Whitlam   Australia
12475 Georg Agricola   Germany
12478 Germanicus   ITALY
12495 Grover Cleveland   United States
12499 Gregorio Allegri   ITALY
12501 Geoff Hurst   UNITED KINGDOM
12509 Gloria Gaynor   UNITED STATES
12531 George Peppard   UNITED STATES
12557 Gilles Deleuze   FRANCE
479380 Jonathan Davis   UNITED STATES
12562 Gregor Mendel   CZECH REPUBLIC
12576 Galba   ITALY
12578 George Stephenson   UNITED KINGDOM
12583 Gary Lineker   UNITED KINGDOM
1018235 Felicity Huffman   UNITED STATES
12598 Georg Wilhelm Friedrich Hegel   Germany
12635 Gian Lorenzo Bernini   ITALY
12648 Gerrit Rietveld   NETHERLANDS
12651 Gregory the Illuminator   Armenia
12671 Gustavus Adolphus of Sweden   Sweden
12677 Gallienus   Italy
12707 Guy Fawkes   United Kingdom
12731 George Harrison   UNITED KINGDOM
12750 Giacomo Puccini   ITALY
17780945 Rooney Mara   UNITED STATES
12775 George Frideric Handel   Germany
12776 Giovanni Pierluigi da Palestrina   ITALY
12787 Geoffrey Chaucer   UNITED KINGDOM
12804 Grigori Rasputin   Russia
12810 Garry Kasparov   AZERBAIJAN
12835 Galla Placidia   Turkey
12855 George Bernard Shaw   IRELAND
12867 George Vancouver   UNITED KINGDOM
12879 George Hamilton-Gordon, 4th Earl of Aberdeen   UNITED KINGDOM
12955 George Pólya   HUNGARY
12957 Giovanni Boccaccio   ITALY
12958 Giuseppe Verdi   ITALY
12963 Giordano Bruno   ITALY
12997 George Washington Carver   United States
13010 Gavrilo Princip   Bosnia and Herzegovina
15821 Jack Lemmon   UNITED STATES
